快照時間,代號,名稱,市場,產業,盤中現價,盤中漲跌幅,盤中漲跌,盤中成交量,盤中時間,AI總分,盤中強度分,即時決策,入場狀態,左側試單價,右側確認價,追價上限,防守停損,風險分,決策原因,昨收,開盤,最高,最低,最近單量,價格來源,盤中狀態,技術分,籌碼分,候選來源
2026-07-17T16:31:59+08:00,2317,鴻海,上市,電子工業,234.0,-3.51,-8.5,67033,13:30:00,50.0,34.8,暫不進場,⚪ 盤中轉弱,233.00,241.50,238.21,228.81,35.0,價格轉弱，先等止跌或尾盤確認。,242.5,238.0,241.5,233.0,16043,成交價,正常,0.0,0.0,fallback
2026-07-17T16:31:59+08:00,3231,緯創,上市,電子工業,139.0,-5.12,-7.5,38014,13:30:00,50.0,32.9,暫不進場,⚪ 盤中轉弱,139.00,144.50,141.50,136.50,35.0,價格轉弱，先等止跌或尾盤確認。,146.5,144.0,144.5,139.0,7875,成交價,正常,0.0,0.0,fallback
2026-07-17T16:31:59+08:00,6669,緯穎,上市,電子工業,4620.0,-9.68,-495.0,1442,13:30:00,50.0,25.0,暫不進場,⚪ 盤中轉弱,4620.00,4995.00,4703.16,4536.84,35.0,價格轉弱，先等止跌或尾盤確認。,5115.0,4900.0,4995.0,4620.0,198,成交價,正常,0.0,0.0,fallback
2026-07-17T16:31:59+08:00,3008,大立光,上市,光電業,4010.0,-5.87,-250.0,1901,13:30:00,49.5,46.4,暫不進場,⚪ 盤中轉弱,3985.00,4200.00,4082.18,3913.27,30.0,價格轉弱，先等止跌或尾盤確認。,4260.0,4090.0,4200.0,3985.0,114,成交價,正常,55.0,55.0,latest_rank
2026-07-17T16:31:59+08:00,2330,台積電,上市,半導體業,2290.0,-7.29,-180.0,74514,13:30:00,47.2,45.7,暫不進場,⚪ 盤中轉弱,2290.00,2395.00,2331.22,2248.78,30.0,價格轉弱，先等止跌或尾盤確認。,2470.0,2375.0,2395.0,2290.0,9277,成交價,正常,70.0,25.0,latest_rank
2026-07-17T16:31:59+08:00,5483,中美晶,上櫃,半導體業,235.5,-9.07,-23.5,31583,13:30:00,42.2,42.0,暫不進場,⚪ 盤中轉弱,234.50,250.00,239.74,230.28,20.0,價格轉弱，先等止跌或尾盤確認。,259.0,244.5,250.0,234.5,1363,成交價,正常,55.0,40.0,latest_rank
2026-07-17T16:31:59+08:00,0050,元大台灣50,上市,ETF,100.15,-5.87,-6.25,439017,13:30:00,39.5,42.7,暫不進場,⚪ 盤中轉弱,100.00,103.05,101.95,98.20,30.0,價格轉弱，先等止跌或尾盤確認。,106.4,102.9,103.05,100.0,5974,成交價,正常,40.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,3374,精材,上櫃,半導體業,358.5,-9.24,-36.5,20475,13:30:00,38.2,37.4,暫不進場,⚪ 盤中轉弱,355.50,390.50,364.95,349.10,20.0,價格轉弱，先等止跌或尾盤確認。,395.0,369.0,390.5,355.5,420,成交價,正常,70.0,5.0,latest_rank
2026-07-17T16:31:59+08:00,6488,環球晶,上櫃,半導體業,1240.0,-9.49,-130.0,10870,13:30:00,37.5,39.0,暫不進場,⚪ 盤中轉弱,1235.00,1320.00,1262.32,1212.77,20.0,價格轉弱，先等止跌或尾盤確認。,1370.0,1235.0,1320.0,1235.0,368,成交價,正常,40.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,8046,南電,上市,電子工業,1150.0,-9.8,-125.0,15993,13:30:00,37.5,39.0,暫不進場,⚪ 盤中轉弱,1150.00,1220.00,1170.70,1129.30,20.0,價格轉弱，先等止跌或尾盤確認。,1275.0,1155.0,1220.0,1150.0,33,成交價,正常,40.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2308,台達電,上市,電子工業,1740.0,-8.66,-165.0,11808,13:30:00,34.0,35.7,暫不進場,⚪ 盤中轉弱,1735.00,1825.00,1771.32,1703.77,30.0,價格轉弱，先等止跌或尾盤確認。,1905.0,1820.0,1825.0,1735.0,937,成交價,正常,30.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,1303,南亞,上市,塑膠工業,199.0,-9.95,-22.0,117197,13:30:00,31.8,32.9,暫不進場,⚪ 盤中轉弱,199.00,211.00,202.58,195.42,20.0,價格轉弱，先等止跌或尾盤確認。,221.0,205.0,211.0,199.0,385,成交價,正常,55.0,10.0,latest_rank
2026-07-17T16:31:59+08:00,2303,聯電,上市,半導體業,144.0,-10.0,-16.0,246695,13:30:00,31.2,33.6,暫不進場,⚪ 盤中轉弱,144.00,148.00,146.59,141.41,30.0,價格轉弱，先等止跌或尾盤確認。,160.0,145.5,148.0,144.0,1283,成交價,正常,25.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,6182,合晶,上櫃,半導體業,149.5,-9.94,-16.5,56889,13:30:00,29.2,32.8,暫不進場,⚪ 盤中轉弱,149.50,156.50,152.19,146.81,20.0,價格轉弱，先等止跌或尾盤確認。,166.0,150.5,156.5,149.5,233,成交價,正常,25.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2408,南亞科,上市,半導體業,395.5,-9.91,-43.5,79534,13:30:00,29.2,32.8,暫不進場,⚪ 盤中轉弱,395.50,413.50,402.62,388.38,20.0,價格轉弱，先等止跌或尾盤確認。,439.0,400.5,413.5,395.5,861,成交價,正常,25.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,3661,世芯-KY,上市,半導體業,3480.0,-7.69,-290.0,1877,13:30:00,23.8,25.5,暫不進場,⚪ 盤中轉弱,3480.00,3655.00,3542.64,3417.36,20.0,價格轉弱，先等止跌或尾盤確認。,3770.0,3585.0,3655.0,3480.0,89,成交價,正常,15.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,6274,台燿,上櫃,電子零組件業,1170.0,-9.65,-125.0,5560,13:30:00,23.8,28.7,暫不進場,⚪ 盤中轉弱,1170.00,1235.00,1191.06,1148.94,20.0,價格轉弱，先等止跌或尾盤確認。,1295.0,1195.0,1235.0,1170.0,24,成交價,正常,15.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2327,國巨*,上市,電子工業,699.0,-9.92,-77.0,31423,13:30:00,21.0,26.6,暫不進場,⚪ 盤中轉弱,699.00,724.00,711.58,686.42,20.0,價格轉弱，先等止跌或尾盤確認。,776.0,710.0,724.0,699.0,87,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,4958,臻鼎-KY,上市,電子零組件業,521.0,-9.86,-57.0,19986,13:30:00,21.0,26.6,暫不進場,⚪ 盤中轉弱,521.00,542.00,530.38,511.62,20.0,價格轉弱，先等止跌或尾盤確認。,578.0,525.0,542.0,521.0,105,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2344,華邦電,上市,半導體業,155.0,-9.88,-17.0,107207,13:30:00,21.0,26.6,暫不進場,⚪ 盤中轉弱,155.00,162.50,157.79,152.21,20.0,價格轉弱，先等止跌或尾盤確認。,172.0,159.5,162.5,155.0,1615,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,3026,禾伸堂,上市,電子工業,690.0,-9.92,-76.0,8882,13:30:00,21.0,26.6,暫不進場,⚪ 盤中轉弱,690.00,720.00,702.42,677.58,20.0,價格轉弱，先等止跌或尾盤確認。,766.0,690.0,720.0,690.0,16,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,3481,群創,上市,光電業,52.6,-8.2,-4.7,338908,13:30:00,21.0,26.8,暫不進場,⚪ 盤中轉弱,52.60,55.10,53.55,51.65,20.0,價格轉弱，先等止跌或尾盤確認。,57.3,53.4,55.1,52.6,10347,成交價,正常,10.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,3037,欣興,上市,電子工業,794.0,-9.98,-88.0,26866,13:30:00,15.5,22.5,暫不進場,⚪ 盤中轉弱,794.00,842.00,808.29,779.71,20.0,價格轉弱，先等止跌或尾盤確認。,882.0,809.0,842.0,794.0,253,成交價,正常,0.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2337,旺宏,上市,半導體業,125.0,-8.42,-11.5,66963,13:30:00,15.5,22.5,暫不進場,⚪ 盤中轉弱,124.00,129.50,127.25,121.77,20.0,價格轉弱，先等止跌或尾盤確認。,136.5,127.0,129.5,124.0,4105,成交價,正常,0.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2454,聯發科,上市,半導體業,3370.0,-8.92,-330.0,9319,13:30:00,15.5,22.5,暫不進場,⚪ 盤中轉弱,3370.00,3570.00,3430.66,3309.34,20.0,價格轉弱，先等止跌或尾盤確認。,3700.0,3470.0,3570.0,3370.0,909,成交價,正常,0.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,8299,群聯,上櫃,半導體業,1785.0,-9.85,-195.0,6213,13:30:00,15.5,22.5,暫不進場,⚪ 盤中轉弱,1785.00,1870.00,1817.13,1752.87,20.0,價格轉弱，先等止跌或尾盤確認。,1980.0,1860.0,1870.0,1785.0,69,成交價,正常,0.0,50.0,latest_rank
2026-07-17T16:31:59+08:00,2492,華新科,上市,電子工業,307.5,-9.96,-34.0,1091,13:30:00,15.5,28.5,暫不進場,⚪ 盤中轉弱,307.50,309.35,313.04,301.96,20.0,價格轉弱，先等止跌或尾盤確認。,341.5,307.5,307.5,307.5,54,成交價,正常,0.0,50.0,latest_rank
